Pairs,n_clusters,silhouette_score,rand_index,v_measure
Bella_Hadid & Carla_Bruni,2,0.03113112971186638,0.4998025536395946,0.0029316080080845235
Eva_Mendes & Ashley_Graham,2,0.028315549716353416,0.5029850746268657,0.006972648346490664
Emma_Stone & Jane_Levy,2,0.029286175966262817,0.5010792860107929,0.004817535026496973
Julie_Bowen & Elizabeth_Banks,2,0.03297145664691925,0.502885443583118,0.005934900372774291
David_Fumero & Ed_Westwick,2,0.03618543595075607,0.49732620320855614,4.925631018277885e-05
Ana_Gasteyer & Kathryn_Hahn,2,0.03005065955221653,0.4976884422110553,5.7882314187146046e-05
Eliza_Coupe & Jordan_Hinson,2,0.030233288183808327,0.49714285714285716,4.8854416656563225e-05
Missy_Peregrym & Hilary_Duff,2,0.031014516949653625,0.49767834529337274,0.00013079048588895213
Terry_Notary & Jim_Carrey,2,0.033077504485845566,0.49736024844720494,0.0008146645044714311
Penelope_Cruz & Monica_Cruz,2,0.03693072497844696,0.49958542652294785,0.0028891145938886335
John_Mayer & Carl_Mayer,2,0.03897428885102272,0.49504950495049505,0.007825369033901755
Mamie_Gummer & Grace_Gummer,2,0.02540605515241623,0.4981640146878825,0.0021973372243265952
Brandon_Jenner & Brody_Jenner,2,0.028510073199868202,0.4973271560940841,7.491724173351466e-05
Ansel_Elgort & Warren_Elgort,2,0.02983272075653076,0.4969241285030759,0.004424183006133643
Zooey_Deschanel & Emily_Deschanel,2,0.03169039636850357,0.4976344925132907,0.00018820205101205225
Ralph_Fiennes & Joseph_Fiennes,2,0.030346563085913658,0.4984591679506934,0.00257009317764432
Amy_Mccarthy & Jenny_Mccarthy,2,0.03687194734811783,0.4961860236220472,0.0015599153026343582
Britney_Spears & Jamie_Lynn_Spears,2,0.0303853340446949,0.49797421731123387,0.0011179860379675517
Ashlee_Simpson & Jessica_Simpson,2,0.03237136825919151,0.5005985335926979,0.003942002636293247
Usher_Raymond & James_Lackey,2,0.027962448075413704,0.4946236559139785,0.006642636368195086
Jonathan_Rhys_Meyers & Justin_Bartha,2,0.02285749465227127,0.4983187307601231,0.0012869902855107494
Dianna_Agron & Annabelle_Wallis,2,0.03099917806684971,0.4970414201183432,0.0002208996738878106
Josephine_Langford & Jordan_Hinson,2,0.03710203245282173,0.497037295224817,0.0006080143693519857
Liam_Hemsworth & Chris_Hemsworth,2,0.029903942719101906,0.4976303317535545,0.0
Kim_Kardashian_West & Khloe_Kardashian,2,0.03317909687757492,0.5027624309392266,0.008255779204343673
Khloe_Kardashian & Kourtney_Kardashian,2,0.039063915610313416,0.5031095611740773,0.008306328572550611
Kim_Kardashian_West & Kourtney_Kardashian,2,0.029545122757554054,0.4976280550051042,0.0007491557930456801
Cameron_Diaz & Chimene_Diaz,2,0.03088783659040928,0.4980443285528031,0.006326508783322614
Miley_Cyrus & Noah_Cyrus,2,0.03435530886054039,0.49732620320855614,2.390217941648528e-06
Lindsay_Lohan & Aliana_Lohan,2,0.02904363162815571,0.5026947574718276,0.011245171994241326
Eddie_Murphy & Charlie_Murphy,2,0.035467326641082764,0.5048068202430619,0.010318141212986458
